Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
214,Tyler Herro\herroty01,SG,21,MIA,48,14,30.7,5.6,13.1,.427,1.9,5.5,.344,3.7,7.6,.488,.499,1.9,2.3,.809,0.5,4.4,4.9,3.4,0.7,0.4,1.9,1.3,14.9
215,Buddy Hield\hieldbu01,SG,28,SAC,60,60,34.3,5.7,14.0,.408,4.0,10.3,.392,1.7,3.7,.455,.552,1.3,1.5,.843,0.4,4.2,4.5,3.2,0.8,0.4,1.7,2.6,16.7
216,George Hill\hillge01,PG,34,TOT,19,16,24.3,3.8,7.5,.507,1.3,3.2,.393,2.5,4.3,.593,.592,1.3,1.6,.800,0.6,1.4,2.0,2.7,0.8,0.3,1.0,0.9,10.1
216,George Hill\hillge01,PG,34,OKC,14,14,26.4,4.4,8.6,.508,1.6,4.1,.386,2.8,4.5,.619,.600,1.5,1.8,.840,0.6,1.5,2.1,3.1,0.9,0.1,0.9,0.9,11.8
216,George Hill\hillge01,PG,34,PHI,5,2,18.6,2.2,4.4,.500,0.4,0.8,.500,1.8,3.6,.500,.545,0.6,1.0,.600,0.6,1.2,1.8,1.6,0.6,0.6,1.4,1.0,5.4
217,Solomon Hill\hillso01,PF,29,ATL,61,12,21.5,1.6,4.4,.361,1.0,3.2,.321,0.6,1.2,.461,.476,0.4,0.6,.735,0.6,2.4,3.0,1.0,0.8,0.2,0.6,1.7,4.6
218,Nate Hinton\hintona01,SG,21,DAL,14,0,3.4,0.6,1.4,.400,0.1,0.4,.167,0.5,1.0,.500,.425,0.3,0.4,.667,0.1,0.3,0.4,0.3,0.3,0.1,0.3,0.2,1.5
219,Jaylen Hoard\hoardja01,SF,21,OKC,11,0,16.5,2.0,4.5,.449,0.0,0.5,.000,2.0,3.9,.512,.449,1.6,2.3,.720,1.4,2.1,3.5,0.8,0.6,0.2,1.3,1.5,5.6
220,Aaron Holiday\holidaa01,PG,24,IND,58,6,16.9,2.5,6.5,.387,1.0,2.8,.373,1.5,3.7,.398,.467,0.9,1.1,.803,0.2,1.0,1.2,1.6,0.6,0.2,0.9,1.5,7.0
221,Jrue Holiday\holidjr01,PG,30,MIL,48,45,31.9,6.8,13.5,.506,1.9,4.6,.399,5.0,8.8,.563,.575,1.7,2.1,.810,1.2,3.3,4.5,5.7,1.8,0.5,2.1,1.6,17.2
222,Justin Holiday\holidju01,SG,31,IND,60,48,30.9,3.6,8.9,.404,2.4,6.5,.375,1.2,2.4,.483,.540,0.9,1.2,.783,0.5,3.2,3.7,1.6,1.2,0.5,0.8,1.9,10.5
223,Rondae Hollis-Jefferson\holliro01,PF,26,POR,5,1,12.6,0.8,2.0,.400,0.0,0.2,.000,0.8,1.8,.444,.400,1.8,2.8,.643,1.4,1.2,2.6,1.6,0.4,0.6,0.4,2.0,3.4
224,Richaun Holmes\holmeri01,C,27,SAC,52,52,29.7,6.0,9.3,.644,0.0,0.2,.200,5.9,9.1,.654,.647,2.3,2.9,.793,2.5,6.3,8.8,1.6,0.7,1.6,1.2,3.6,14.3
225,Rodney Hood\hoodro01,SF,28,TOT,49,5,18.2,1.8,5.1,.363,0.7,2.2,.306,1.2,2.9,.407,.429,0.4,0.5,.826,0.4,1.5,1.9,1.1,0.4,0.1,0.7,1.4,4.7
225,Rodney Hood\hoodro01,SF,28,POR,38,5,19.1,1.9,5.3,.363,0.7,2.2,.298,1.3,3.1,.410,.425,0.2,0.3,.750,0.5,1.4,1.9,1.2,0.5,0.1,0.8,1.6,4.7
225,Rodney Hood\hoodro01,SF,28,TOR,11,0,14.9,1.5,4.3,.362,0.7,2.2,.333,0.8,2.1,.391,.447,0.9,1.0,.909,0.3,1.5,1.8,0.5,0.1,0.3,0.4,1.0,4.7
226,Al Horford\horfoal01,C,34,OKC,28,28,27.9,5.8,12.9,.450,2.0,5.4,.368,3.8,7.4,.510,.528,0.6,0.8,.818,1.0,5.7,6.7,3.4,0.9,0.9,1.0,1.7,14.2
227,Talen Horton-Tucker\hortota01,SG,20,LAL,56,3,19.6,3.4,7.5,.447,0.6,2.1,.265,2.8,5.4,.516,.483,1.5,1.8,.796,0.4,2.3,2.7,2.5,0.9,0.4,1.4,1.9,8.7
228,Danuel House\houseda01,SF,27,HOU,32,21,27.0,3.2,7.8,.407,1.6,4.4,.359,1.6,3.3,.472,.510,1.2,1.8,.661,0.6,3.3,3.8,1.8,0.6,0.4,0.9,1.9,9.1
229,Dwight Howard\howardw01,C,35,PHI,59,5,17.4,2.5,4.2,.586,0.1,0.3,.235,2.4,3.9,.612,.594,1.7,3.1,.572,2.7,5.7,8.4,0.8,0.5,0.9,1.7,3.0,6.8
230,Markus Howard\howarma02,SG,21,DEN,30,0,3.3,0.4,1.7,.260,0.2,1.2,.171,0.2,0.5,.467,.320,0.0,0.1,.500,0.0,0.4,0.4,0.4,0.1,0.0,0.3,0.5,1.1
231,Kevin Huerter\huertke01,SG,22,ATL,62,47,31.3,4.7,10.7,.440,2.1,5.7,.366,2.6,5.1,.522,.537,0.8,1.0,.790,0.6,2.7,3.3,3.5,1.2,0.2,1.2,2.4,12.3
232,Elijah Hughes\hugheel01,SF,22,UTA,13,0,3.5,0.6,1.7,.364,0.5,1.3,.353,0.2,0.4,.400,.500,0.2,0.3,.750,0.0,0.5,0.5,0.3,0.1,0.1,0.5,0.1,1.9
233,De'Andre Hunter\huntede01,SF,23,ATL,20,18,31.3,5.6,11.2,.502,1.6,4.4,.356,4.1,6.8,.596,.572,3.3,3.8,.867,0.8,4.3,5.1,2.1,0.9,0.5,1.4,2.7,16.0
234,Chandler Hutchison\hutchch01,SF,24,TOT,14,0,13.2,1.4,3.9,.345,0.3,1.0,.286,1.1,2.9,.366,.382,0.8,0.9,.846,0.3,3.1,3.4,0.6,0.3,0.0,1.0,1.4,3.8
234,Chandler Hutchison\hutchch01,SF,24,CHI,7,0,9.1,0.7,2.6,.278,0.1,0.4,.333,0.6,2.1,.267,.306,0.3,0.3,1.000,0.1,2.7,2.9,0.6,0.1,0.0,0.7,1.3,1.9
234,Chandler Hutchison\hutchch01,SF,24,WAS,7,0,17.3,2.0,5.3,.378,0.4,1.6,.273,1.6,3.7,.423,.419,1.3,1.6,.818,0.4,3.4,3.9,0.7,0.4,0.0,1.3,1.4,5.7
235,Serge Ibaka\ibakase01,C,31,LAC,39,39,23.6,4.5,8.9,.507,1.0,2.8,.352,3.5,6.1,.577,.562,0.9,1.2,.822,1.7,4.9,6.7,1.7,0.2,1.2,1.1,1.9,10.9
236,Andre Iguodala\iguodan01,SF,37,MIA,54,4,21.5,1.6,4.2,.381,1.0,3.1,.329,0.6,1.0,.536,.504,0.4,0.6,.647,0.6,3.0,3.6,2.2,1.0,0.6,1.0,1.4,4.6
237,Ersan İlyasova\ilyaser01,PF,33,UTA,11,1,8.9,1.4,3.3,.417,1.1,2.5,.429,0.3,0.7,.375,.583,0.3,0.3,1.000,0.4,1.4,1.7,0.2,0.8,0.2,0.4,1.8,4.1
238,Joe Ingles\inglejo01,SF,33,UTA,56,19,27.5,4.1,8.2,.508,2.8,5.9,.477,1.3,2.2,.589,.682,1.1,1.3,.847,0.4,3.3,3.7,4.4,0.7,0.2,1.6,1.8,12.2
239,Brandon Ingram\ingrabr01,SF,23,NOP,56,56,34.4,8.5,18.1,.470,2.4,6.2,.383,6.2,12.0,.516,.535,4.7,5.3,.886,0.6,4.4,5.0,4.9,0.7,0.6,2.5,2.0,24.2
240,Kyrie Irving\irvinky01,PG,28,BRK,45,45,35.2,10.3,20.4,.507,2.7,6.9,.390,7.6,13.5,.566,.573,4.0,4.3,.923,1.0,3.9,5.0,6.5,1.3,0.6,2.5,2.6,27.3
241,Wesley Iwundu\iwundwe01,SF,26,TOT,36,4,13.3,0.9,2.4,.352,0.1,1.1,.128,0.7,1.4,.531,.381,0.7,0.8,.828,0.3,1.9,2.2,0.4,0.4,0.1,0.5,1.3,2.5
241,Wesley Iwundu\iwundwe01,SF,26,DAL,23,3,12.5,0.7,2.3,.327,0.1,1.0,.130,0.6,1.3,.483,.356,0.5,0.6,.857,0.3,1.7,1.9,0.4,0.4,0.1,0.3,1.1,2.1
241,Wesley Iwundu\iwundwe01,SF,26,NOP,13,1,14.5,1.1,2.8,.389,0.2,1.2,.125,0.9,1.5,.600,.417,0.9,1.2,.800,0.4,2.2,2.6,0.4,0.4,0.1,0.8,1.5,3.2
242,Frank Jackson\jacksfr01,PG,22,DET,33,4,16.8,3.0,6.5,.465,1.5,3.5,.414,1.5,2.9,.526,.577,1.3,1.6,.792,0.4,1.6,2.0,0.7,0.2,0.0,0.8,1.2,8.7
243,Jaren Jackson Jr.\jacksja02,C,21,MEM,3,0,21.0,5.7,11.7,.486,0.7,3.7,.182,5.0,8.0,.625,.514,4.0,5.3,.750,1.3,4.7,6.0,1.0,0.3,1.7,1.0,4.7,16.0
244,Josh Jackson\jacksjo02,SG,23,DET,56,21,25.0,4.9,11.6,.427,1.3,4.1,.304,3.7,7.5,.495,.481,2.5,3.4,.731,0.9,3.1,4.0,2.2,0.9,0.7,2.2,2.9,13.7
245,Justin Jackson\jacksju01,SF,25,OKC,33,3,16.5,2.6,6.4,.406,1.0,3.4,.306,1.6,3.1,.515,.486,0.9,1.1,.857,0.4,1.7,2.2,1.5,0.5,0.1,0.9,0.9,7.2
246,Reggie Jackson\jacksre01,SG,30,LAC,59,37,22.7,3.9,8.6,.451,1.7,3.9,.439,2.2,4.7,.462,.551,1.1,1.3,.805,0.4,2.5,2.9,3.2,0.6,0.1,1.1,2.0,10.5
247,Justin James\jamesju01,SF,24,SAC,26,0,5.8,0.7,1.6,.429,0.2,0.7,.294,0.5,1.0,.520,.488,0.2,0.5,.417,0.1,0.3,0.4,0.6,0.1,0.0,0.2,0.4,1.8
248,LeBron James\jamesle01,PG,36,LAL,41,41,33.9,9.5,18.4,.513,2.4,6.5,.368,7.1,12.0,.592,.578,4.1,5.8,.703,0.6,7.3,7.9,7.9,1.0,0.6,3.7,1.6,25.4
249,Mike James\jamesmi02,PG,30,BRK,2,0,14.0,1.5,4.5,.333,0.5,1.0,.500,1.0,3.5,.286,.389,1.5,3.0,.500,0.5,1.0,1.5,1.5,0.5,0.0,0.5,0.0,5.0
250,DaQuan Jeffries\jeffrda01,SG,23,TOT,24,2,13.0,1.2,3.1,.387,0.5,1.6,.282,0.8,1.5,.500,.460,0.3,0.3,.857,0.5,1.2,1.8,0.4,0.3,0.3,0.3,1.2,3.1
250,DaQuan Jeffries\jeffrda01,SG,23,SAC,18,2,12.9,1.3,3.2,.421,0.5,1.6,.321,0.8,1.6,.517,.500,0.3,0.4,.857,0.5,1.1,1.6,0.3,0.4,0.2,0.4,1.3,3.5
250,DaQuan Jeffries\jeffrda01,SG,23,HOU,6,0,13.3,0.8,3.0,.278,0.3,1.8,.182,0.5,1.2,.429,.333,0.0,0.0,,0.7,1.5,2.2,0.5,0.2,0.5,0.0,0.8,2.0
251,Ty Jerome\jeromty01,SG,23,OKC,28,1,24.3,3.7,8.6,.432,2.1,5.3,.401,1.6,3.4,.479,.554,0.7,1.0,.741,0.4,2.4,2.8,3.6,0.6,0.1,1.4,1.7,10.3
252,Isaiah Joe\joeis01,SG,21,PHI,33,1,9.2,1.0,3.1,.320,0.8,2.4,.325,0.2,0.7,.304,.447,0.4,0.5,.750,0.2,0.7,0.9,0.5,0.2,0.1,0.2,0.8,3.2
253,Alize Johnson\johnsal02,PF,24,BRK,12,0,10.6,2.5,4.1,.612,0.1,0.4,.200,2.4,3.7,.659,.622,0.3,0.3,1.000,1.5,3.1,4.6,0.8,0.3,0.2,0.7,0.8,5.3
